news_outlet,tweet_date,tweet_text,username,compound,positive,negative,neutral,date
@CBSNews,Sun Dec 17 07:48:04 +0000 2017,Arrests along the U.S.-Mexico border surge https://t.co/OXTTJ1C8mJ https://t.co/5LeMXfHSl9,CBSNews,-0.4404,0.0,0.293,0.707,2017-12-17 07:48:04
@CBSNews,Sun Dec 17 07:33:06 +0000 2017,Letter from Charleston church shooter reveals no remorse for killings https://t.co/WsMPbhHMLk https://t.co/4zgfXCuQ7B,CBSNews,-0.8316,0.0,0.494,0.506,2017-12-17 07:33:06
@CBSNews,Sun Dec 17 07:18:06 +0000 2017,California health officials release guidelines on cellphone radiation https://t.co/NDqCH9ARn8 https://t.co/FtBpUgCLM3,CBSNews,0.0,0.0,0.0,1.0,2017-12-17 07:18:06
@CBSNews,Sun Dec 17 07:03:06 +0000 2017,"Earthquake hits Indonesia's Java Island, deaths reported https://t.co/mIhAokmeEZ https://t.co/Ic6F0euxcf",CBSNews,0.0,0.0,0.0,1.0,2017-12-17 07:03:06
@CNN,Sun Dec 17 07:00:21 +0000 2017,A baby born with her heart outside her body has survived three surgeries to insert it back into her chest… https://t.co/t6CXrDVSAR,CNN,0.5106,0.148,0.0,0.852,2017-12-17 07:00:21
@CBSNews,Sun Dec 17 06:48:05 +0000 2017,President Trump touts GOP tax plan before departing for Camp David https://t.co/7rk2FU6YHA https://t.co/UJjWuOvUXw,CBSNews,-0.0258,0.0,0.084,0.916,2017-12-17 06:48:05
@CBSNews,Sun Dec 17 06:33:05 +0000 2017,Uber driver accused of raping teen he drove home from bar https://t.co/ADZQTFhdS6 https://t.co/0EU426sWyw,CBSNews,-0.8062,0.0,0.398,0.602,2017-12-17 06:33:05
@CNN,Sun Dec 17 06:30:09 +0000 2017,"For the first time, eight planets have been found orbiting a distant star, Kepler-90, 2,545 light-years from Earth,… https://t.co/aTUCnQTFTO",CNN,0.0,0.0,0.0,1.0,2017-12-17 06:30:09
@CBSNews,Sun Dec 17 06:18:09 +0000 2017,Inflammatory letter sheds light on Uber's alleged misconduct https://t.co/qvkoXSButc https://t.co/je9kPKKoIv,CBSNews,0.0,0.0,0.0,1.0,2017-12-17 06:18:09
@CNN,Sun Dec 17 06:00:14 +0000 2017,An American diplomat who resigned in disgust last week says she believes the Trump administration is putting Americ… https://t.co/1Dq2ARsv45,CNN,-0.7096,0.0,0.258,0.742,2017-12-17 06:00:14
@CNN,Sun Dec 17 05:30:06 +0000 2017,"Sen. Bernie Sanders has joined the list of lawmakers calling on President Trump to resign, citing the multiple alle… https://t.co/3MIyfb5x8N",CNN,-0.34,0.0,0.112,0.888,2017-12-17 05:30:06
@CNN,Sun Dec 17 05:00:15 +0000 2017,These 16 states are running out of funding for CHIP — the Children's Health Insurance Program… https://t.co/WPgDVDGZpQ,CNN,0.0,0.0,0.0,1.0,2017-12-17 05:00:15
@BBCNews,Sun Dec 17 04:39:01 +0000 2017,Brexit: Theresa May says she 'will not be derailed' https://t.co/emYir0HIBE,BBCNews,0.2584,0.184,0.0,0.816,2017-12-17 04:39:01
@CNN,Sun Dec 17 04:30:13 +0000 2017,'The Simpsons' predicted Disney would buy Fox in an episode that aired way back in 1998 https://t.co/bDaqptIuEM https://t.co/8rPHk2rmJd,CNN,0.0,0.0,0.0,1.0,2017-12-17 04:30:13
@CNN,Sun Dec 17 04:00:05 +0000 2017,"For the first time, eight planets have been found orbiting a distant star, Kepler-90, 2,545 light-years from Earth,… https://t.co/tVDa4TuMCf",CNN,0.0,0.0,0.0,1.0,2017-12-17 04:00:05
@BBCNews,Sun Dec 17 01:15:08 +0000 2017,Campaigners threaten legal action over 'abortion pill' https://t.co/xe054VBZT4,BBCNews,-0.2732,0.149,0.257,0.594,2017-12-17 01:15:08
